date,year,name,isholiday,holidaycategory,description
20220206,2022,,是,星期六、星期日,
20220212,2022,,是,星期六、星期日,
20220213,2022,,是,星期六、星期日,
20220219,2022,,是,星期六、星期日,
20220220,2022,,是,星期六、星期日,
20220226,2022,,是,星期六、星期日,
20220227,2022,,是,星期六、星期日,
20220228,2022,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
20220305,2022,,是,星期六、星期日,
20220306,2022,,是,星期六、星期日,
20220312,2022,,是,星期六、星期日,
20220313,2022,,是,星期六、星期日,
20220319,2022,,是,星期六、星期日,
20220320,2022,,是,星期六、星期日,
20220326,2022,,是,星期六、星期日,
20220327,2022,,是,星期六、星期日,
20220402,2022,,是,星期六、星期日,
20220403,2022,,是,星期六、星期日,
20220404,2022,兒童節,是,放假之紀念日及節日,全國各機關學校放假一日。
20220405,2022,民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日。
20220409,2022,,是,星期六、星期日,
20220410,2022,,是,星期六、星期日,
20220416,2022,,是,星期六、星期日,
20220417,2022,,是,星期六、星期日,
20220423,2022,,是,星期六、星期日,
20220424,2022,,是,星期六、星期日,
20220430,2022,,是,星期六、星期日,
20220501,2022,勞動節,是,特定節日,勞工放假一日。
20220507,2022,,是,星期六、星期日,
20220508,2022,,是,星期六、星期日,
20220514,2022,,是,星期六、星期日,
20220515,2022,,是,星期六、星期日,
20220521,2022,,是,星期六、星期日,
20220522,2022,,是,星期六、星期日,
20220528,2022,,是,星期六、星期日,
20220529,2022,,是,星期六、星期日,
20220603,2022,端午節,是,放假之紀念日及節日,全國各機關學校放假一日。
20220604,2022,,是,星期六、星期日,
20220605,2022,,是,星期六、星期日,
20220611,2022,,是,星期六、星期日,
20220612,2022,,是,星期六、星期日,
20220618,2022,,是,星期六、星期日,
20220619,2022,,是,星期六、星期日,
20220625,2022,,是,星期六、星期日,
20220626,2022,,是,星期六、星期日,
20220702,2022,,是,星期六、星期日,
20220703,2022,,是,星期六、星期日,
20220709,2022,,是,星期六、星期日,
20220710,2022,,是,星期六、星期日,
20220716,2022,,是,星期六、星期日,
20220717,2022,,是,星期六、星期日,
20220723,2022,,是,星期六、星期日,
20220724,2022,,是,星期六、星期日,
20220730,2022,,是,星期六、星期日,
20220731,2022,,是,星期六、星期日,
20220806,2022,,是,星期六、星期日,
20220807,2022,,是,星期六、星期日,
20220813,2022,,是,星期六、星期日,
20220814,2022,,是,星期六、星期日,
20220820,2022,,是,星期六、星期日,
20220821,2022,,是,星期六、星期日,
20220827,2022,,是,星期六、星期日,
20220828,2022,,是,星期六、星期日,
20220903,2022,軍人節,是,特定節日,軍人依國防部規定辦理。
20220904,2022,,是,星期六、星期日,
20220909,2022,,是,補假,
20220910,2022,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於九月九日補假一日。
20220911,2022,,是,星期六、星期日,
20220917,2022,,是,星期六、星期日,
20220918,2022,,是,星期六、星期日,
20220924,2022,,是,星期六、星期日,
20220925,2022,,是,星期六、星期日,
20221001,2022,,是,星期六、星期日,
20221002,2022,,是,星期六、星期日,
20221008,2022,,是,星期六、星期日,
20221009,2022,,是,星期六、星期日,
20221010,2022,國慶日,是,放假之紀念日及節日,全國各機關學校放假一日。
20221015,2022,,是,星期六、星期日,
20221016,2022,,是,星期六、星期日,
20221022,2022,,是,星期六、星期日,
20221023,2022,,是,星期六、星期日,
20221029,2022,,是,星期六、星期日,
20221030,2022,,是,星期六、星期日,
20221105,2022,,是,星期六、星期日,
20221106,2022,,是,星期六、星期日,
20221112,2022,,是,星期六、星期日,
20221113,2022,,是,星期六、星期日,
20221119,2022,,是,星期六、星期日,
20221120,2022,,是,星期六、星期日,
20221126,2022,,是,星期六、星期日,
20221127,2022,,是,星期六、星期日,
20221203,2022,,是,星期六、星期日,
20221204,2022,,是,星期六、星期日,
20221210,2022,,是,星期六、星期日,
20221211,2022,,是,星期六、星期日,
20221217,2022,,是,星期六、星期日,
20221218,2022,,是,星期六、星期日,
20221224,2022,,是,星期六、星期日,
20221225,2022,,是,星期六、星期日,
20221231,2022,,是,星期六、星期日,
20230101,2023,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於一月二日補假一日。
20230102,2023,,是,補假,
20230107,2023,,否,補行上班日,
20230108,2023,,是,星期六、星期日,
20230114,2023,,是,星期六、星期日,
20230115,2023,,是,星期六、星期日,
20230120,2023,,是,調整放假日,
20230121,2023,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於一月二十五日補假一日；小年夜(一月二十日)適逢星期五，調整為放假日，並於一月七日補行上班一日。
20230122,2023,春節,是,放假之紀念日及節日,全國各機關學校於一月二十二日至一月二十四日放假三日，其中春節初一適逢星期日，於一月二十六日補假一日；一月二十七日調整放假，並於二月四日補行上班一日。
20230123,2023,春節,是,放假之紀念日及節日,
20230124,2023,春節,是,放假之紀念日及節日,
20230125,2023,,是,補假,
20230126,2023,,是,補假,
20230127,2023,,是,調整放假日,
20230128,2023,,是,星期六、星期日,
20230129,2023,,是,星期六、星期日,
20230204,2023,,否,補行上班日,
20230205,2023,,是,星期六、星期日,
20230211,2023,,是,星期六、星期日,
20230212,2023,,是,星期六、星期日,
20230218,2023,,否,補行上班日,
20230219,2023,,是,星期六、星期日,
